available_date,n_firms,cdi_spearman_rho,cdi_spearman_pval,cdi_pearson_shares,cdi_pearson_pval
2022-06-30,7,0.5714285714285715,0.1802019889115274,0.7053382509251784,0.07665229182368756
2022-07-31,8,0.523809523809524,0.18272075053971482,0.7346769457423824,0.037895656625420195
2022-08-31,8,0.523809523809524,0.18272075053971482,0.7358064084319127,0.03744867196834198
2022-09-30,8,0.5714285714285715,0.1389599571607067,0.7293348976955656,0.040053719167836586
2022-10-31,8,0.6666666666666669,0.07098765432098751,0.7055482401141946,0.05055905176263342
2022-11-30,8,0.6190476190476191,0.1017330374542646,0.7001753107048188,0.053138294302409655
2022-12-31,10,0.6,0.06668799999999996,0.5115524240656788,0.1306977670362951
2023-01-31,10,0.5636363636363636,0.08972402831709127,0.5576562890669492,0.0939411453277911
2023-02-28,10,0.406060606060606,0.24428229408662638,0.5039939095215166,0.13745691037936697
2023-03-31,10,0.34545454545454546,0.32822651147136733,0.4972223909085419,0.14369085062236953
2023-04-30,10,0.34545454545454546,0.32822651147136733,0.4910198252213427,0.14954977817390105
2023-05-31,10,0.406060606060606,0.24428229408662638,0.48279950562538854,0.15753476779363362
2023-06-30,10,0.4545454545454545,0.186904810349332,0.45292706121982124,0.18867775895822794
2023-07-31,10,0.4545454545454545,0.186904810349332,0.4579791623913312,0.1831757567100587
2023-08-31,10,0.4545454545454545,0.186904810349332,0.46559176868890956,0.17506615942524437
2023-09-30,10,0.4545454545454545,0.186904810349332,0.45185025714332494,0.18986284697186118
2023-10-31,10,0.5030303030303029,0.13833369839449197,0.4525845251610089,0.18905426827285304
2023-11-30,10,0.4545454545454545,0.186904810349332,0.4408083057799283,0.2022665115714885
2023-12-31,10,0.4545454545454545,0.186904810349332,0.46393433345871465,0.17681328875467756
