date,cdi,se,wt,std_wt_24m,std_pc1_24m
2022-06-30,0.5714285714285715,0.10531622720327549,0.40695276901491856,0.023963435271588396,-0.8405890772923555
2022-07-31,0.523809523809524,0.10836177562411457,0.39494611103617006,0.023385170166515278,
2022-08-31,0.523809523809524,0.1049294922183007,0.4117793811512645,0.02244233574543647,
2022-09-30,0.5714285714285715,0.10322904285078219,0.42089346041392256,0.020461282242777004,
2022-10-31,0.6666666666666669,0.10249856476129993,0.42544563141412556,0.018861755924021954,
2022-11-30,0.6190476190476191,0.10745372332360192,0.40397720609743387,0.01640867589926992,
2022-12-31,0.6,0.10987619598865939,0.3948638667574743,0.014726311802933295,-0.44214086852456724
2023-01-31,0.5636363636363636,0.11610276407109736,0.370837891775044,0.014977462673828596,
2023-02-28,0.406060606060606,0.11799536047070336,0.3653897679960428,0.01535274363139626,
2023-03-31,0.3454545454545454,0.12019319880650636,0.3590328503414987,0.01636848892133124,
2023-04-30,0.3454545454545454,0.12130445181013642,0.35697934891526384,0.017870054364568348,
2023-05-31,0.406060606060606,0.12327039115244018,0.3518734817201264,0.019974294847998782,
2023-06-30,0.4545454545454545,0.12436120648695696,0.3501126852109416,0.021857189294992127,-0.4252238416167527
2023-07-31,0.4545454545454545,0.12409889465964144,0.35323865073196553,0.023097771534802993,
2023-08-31,0.4545454545454545,0.12462357141724482,0.3534495996122503,0.0240175703840587,
2023-09-30,0.4545454545454545,0.12483364065178996,0.35476934446684066,0.024751933464955203,
2023-10-31,0.5030303030303029,0.12430890498934029,0.35869796500552736,0.025139243802256878,
2023-11-30,0.4545454545454545,0.12376329428178359,0.3626332484061644,0.02544826083642755,
2023-12-31,0.4545454545454545,0.12280502197074927,0.3680326114199722,0.02556992046740845,1.7079537874336754
